video_id,proficiency,frameworks,optimization,versioning,involvement,impact,outcomes,logic,communication,solving,learning
1_1,0.92,0.85,0.88,0,0.9,0.93,0.85,0.95,0.82,0.94,0.9
1_2,0.85,0.95,0.93,0,0.92,0.96,0.88,0.94,0.78,0.95,0.92
1_3,0.75,0.9,0.85,0,0.88,0.89,0.8,0.9,0.75,0.88,0.85
1_4,0.8,0.82,0.9,0,0.85,0.87,0.82,0.92,0.72,0.89,0.83
1_5,0.88,0.88,0.95,0,0.93,0.94,0.9,0.96,0.85,0.96,0.93
1_6,0.82,0.92,0.92,0,0.95,0.95,0.93,0.97,0.88,0.97,0.94
1_7,0.65,0,0,0,0.3,0.4,0.35,0.7,0.6,0.55,0.5
1_8,0.7,0,0,0,0.35,0.45,0.4,0.75,0.65,0.6,0.55
1_9,0.68,0,0,0,0.32,0.42,0.38,0.72,0.62,0.58,0.52
1_10,0.55,0,0,0,0.25,0.3,0.28,0.65,0.5,0.45,0.4
1_11,0,0,0,0,0,0,0,0.1,0.05,0.05,0
1_12,0.5,0,0,0,0.2,0.25,0.22,0.6,0.45,0.4,0.35
1_13,0.58,0,0,0,0.28,0.35,0.32,0.68,0.55,0.5,0.45
1_14,0.52,0,0,0,0.22,0.28,0.25,0.62,0.48,0.42,0.38
1_15,0.62,0,0,0,0.35,0.4,0.38,0.75,0.65,0.6,0.55
1_16,0.72,0,0.65,0,0.75,0.78,0.82,0.85,0.8,0.83,0.78
1_17,0.78,0,0.7,0,0.82,0.85,0.88,0.9,0.85,0.88,0.83
1_18,0.75,0,0.68,0,0.8,0.83,0.85,0.88,0.82,0.85,0.8
1_19,0.8,0,0.72,0,0.85,0.88,0.9,0.92,0.88,0.9,0.85
1_20,0.85,0,0.75,0,0.88,0.9,0.92,0.94,0.9,0.93,0.95
1_21,0.85,0,0,0,0.75,0.8,0,0.82,0.78,0.75,0.88
1_22,0.88,0.75,0,0,0.8,0.85,0,0.85,0.82,0.8,0.9
1_23,0.82,0.92,0.85,0,0.9,0.93,0.88,0.92,0.85,0.9,0.92
1_24,0.85,0.95,0.88,0,0.92,0.95,0.9,0.94,0.88,0.92,0.93
1_25,0.9,0.85,0.82,0,0.88,0.9,0.85,0.93,0.9,0.92,0.95
1_26,0.92,0.88,0.9,0,0.93,0.94,0.92,0.96,0.92,0.95,0.96
1_27,0.88,0.82,0.85,0,0.9,0.92,0.95,0.94,0.88,0.93,0.94
1_28,0.85,0.78,0.8,0,0.85,0.88,0.9,0.92,0.85,0.9,0.92
2_1,0.75,0,0,0,0.65,0.7,0,0.78,0.72,0.68,0.8
2_2,0.82,0,0,0,0.72,0.78,0,0.85,0.8,0.75,0.85
2_3,0.85,0,0,0,0.75,0.82,0,0.88,0.82,0.78,0.88
2_4,0.88,0,0,0,0.78,0.85,0,0.9,0.85,0.82,0.9
2_5,0.92,0,0.85,0,0.85,0.9,0,0.94,0.88,0.9,0.93
2_6,0.95,0,0.88,0,0.88,0.93,0,0.96,0.9,0.93,0.95
2_7,0.97,0,0.9,0,0.9,0.95,0,0.98,0.92,0.95,0.97
2_8,0.98,0,0.92,0,0.92,0.96,0,0.99,0.94,0.96,0.98
2_9,0.85,0,0.88,0,0.82,0.88,0,0.92,0.85,0.9,0.93
2_10,0.88,0,0.9,0,0.85,0.9,0,0.94,0.88,0.92,0.95
2_11,0.9,0,0.92,0,0.88,0.92,0,0.96,0.9,0.94,0.96
